,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Food,Measure,Category
0,1.0,0.6762295081967213,0.03278688524590164,0.040983606557377046,0.036885245901639344,0.0,0.04918032786885246,Cows milk,1 qt.,Dairy products
1,1.0,0.36585365853658536,0.036585365853658534,0.0,0.0,0.0,0.052845528455284556,Milk skim,1 qt.,Dairy products
2,1.0,0.516260162601626,0.036585365853658534,0.02032520325203252,0.016260162601626018,0.0,0.052845528455284556,Buttermilk,1 cup,Dairy products
3,1.0,1.369047619047619,0.06349206349206349,0.07936507936507936,0.07142857142857142,0.0,0.09523809523809523,Evaporated undiluted,1 cup,Dairy products
4,1.0,0.9675828047921071,0.06272022551092318,0.02959830866807611,0.01620859760394644,0.0009866102889358702,0.08386187455954898,Fortified milk,6 cups,Dairy products
5,1.0,5.0,0.2621359223300971,0.27184466019417475,0.23300970873786409,0.0,0.3786407766990291,Powdered milk,1 cup,Dairy products
6,1.0,3.411764705882353,0.35294117647058826,0.0,0.0,0.0,0.49411764705882355,skim instant,1 1/3 cups,Dairy products
7,1.0,3.411764705882353,0.35294117647058826,0.0,0.0,0.011764705882352941,0.49411764705882355,skim non-instant,2/3 cup,Dairy products
8,1.0,0.6762295081967213,0.03278688524590164,0.040983606557377046,0.03278688524590164,0.0,0.045081967213114756,Goats' milk,1 cup,Dairy products
9,1.0,1.2777777777777777,0.044444444444444446,0.044444444444444446,0.040740740740740744,0.0,0.12962962962962962,(1/2 cup ice cream),2 cups,Dairy products
10,1.0,0.9325396825396826,0.031746031746031744,0.04365079365079365,0.03968253968253968,0.0,0.10317460317460317,Cocoa,1 cup,Dairy products
11,1.0,0.512,0.072,0.016,0.012,0.004,0.052,skim. milk,1 cup,Dairy products
12,1.0,1.1088709677419355,0.036290322580645164,0.04032258064516129,0.036290322580645164,0.0,0.16129032258064516,(cornstarch),1 cup,Dairy products
13,1.0,1.1491935483870968,0.05241935483870968,0.056451612903225805,0.04435483870967742,0.0,0.11290322580645161,Custard,1 cup,Dairy products
14,1.0,1.5957446808510638,0.031914893617021274,0.09574468085106383,0.0851063829787234,0.0,0.15425531914893617,Ice cream,1 cup,Dairy products
15,1.0,1.4473684210526316,0.04736842105263158,0.05263157894736842,0.04736842105263158,0.0,0.16842105263157894,Ice milk,1 cup,Dairy products
16,1.0,1.4166666666666667,0.03333333333333333,0.125,0.10833333333333334,0.0,0.041666666666666664,Cream or half-and-half,1/2 cup,Dairy products
17,1.0,3.6134453781512605,0.01680672268907563,0.3697478991596639,0.226890756302521,0.008403361344537815,0.025210084033613446,or whipping,1/2 cup,Dairy products
18,1.0,1.0666666666666667,0.13333333333333333,0.04888888888888889,0.044444444444444446,0.0,0.02666666666666667,Cheese,1 cup,Dairy products
19,1.0,0.8666666666666667,0.1688888888888889,0.0,0.0,0.0,0.02666666666666667,uncreamed,1 cup,Dairy products
20,1.0,4.117647058823529,0.23529411764705882,0.35294117647058826,0.29411764705882354,0.0,0.0,Cheddar,1-in. cube,Dairy products
21,1.0,4.035714285714286,0.25,0.3392857142857143,0.30357142857142855,0.0,0.017857142857142856,Cheddar grated cup,1/2 cup,Dairy products
22,1.0,3.75,0.07142857142857142,0.39285714285714285,0.35714285714285715,0.0,0.03571428571428571,Cream cheese,1 oz.,Dairy products
23,1.0,3.75,0.25,0.32142857142857145,0.2857142857142857,0.0,0.0,Processed cheese,1 oz.,Dairy products
24,1.0,3.75,0.21428571428571427,0.32142857142857145,0.2857142857142857,0.0,0.0,Roquefort type,1 oz.,Dairy products
25,1.0,3.75,0.25,0.2857142857142857,0.25,0.0,0.0,Swiss,1 oz.,Dairy products
26,1.0,1.5,0.12,0.12,0.1,0.0,0.0,Eggs raw,2,Dairy products
27,1.0,1.71875,0.1015625,0.125,0.109375,0.0,0.0078125,Eggs Scrambled or fried,2,Dairy products
28,1.0,3.5294117647058822,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.0,0.0,Yolks,2,Fats Oils Shortenings
29,1.0,7.142857142857143,0.0,0.7857142857142857,0.7142857142857143,0.0,0.0,Butter,1T.,Fats Oils Shortenings
32,1.0,6.65,0.0,1.0,0.88,0.0,0.0,Hydrogenated cooking fat,1/2 cup,Fats Oils Shortenings
33,1.0,9.018181818181818,0.0,1.0,0.8363636363636363,0.0,0.0,Lard,1/2 cup,Fats Oils Shortenings
34,1.0,7.196428571428571,0.0,0.8125,0.6785714285714286,0.0,0.0,Margarine,1/2 cup,Fats Oils Shortenings
